bench,thread,task,duration,reference,TASK DEPENDENCY NEIGHBORS MASTER 1,TASK DEPENDENCY NEIGHBORS MASTER 2,TASK DEPENDENCY NEIGHBORS MASTER 4,TASK DEPENDENCY NEIGHBORS MASTER 8,TASK DEPENDENCY NEIGHBORS MASTER 16,TASK DEPENDENCY NEIGHBORS MASTER 24,TASK DEPENDENCY NEIGHBORS MASTER 32,TASK DEPENDENCY IN LINKED MASTER 1,TASK DEPENDENCY IN LINKED MASTER 2,TASK DEPENDENCY IN LINKED MASTER 4,TASK DEPENDENCY IN LINKED MASTER 8,TASK DEPENDENCY IN LINKED MASTER 16,TASK DEPENDENCY IN LINKED MASTER 24,TASK DEPENDENCY IN LINKED MASTER 32,TASK DEPENDENCY OUT LINKED MASTER 1,TASK DEPENDENCY OUT LINKED MASTER 2,TASK DEPENDENCY OUT LINKED MASTER 4,TASK DEPENDENCY OUT LINKED MASTER 8,TASK DEPENDENCY OUT LINKED MASTER 16,TASK DEPENDENCY OUT LINKED MASTER 24,TASK DEPENDENCY OUT LINKED MASTER 32,TASK DEPENDENCY INOUT LINKED MASTER 1,TASK DEPENDENCY INOUT LINKED MASTER 2,TASK DEPENDENCY INOUT LINKED MASTER 4,TASK DEPENDENCY INOUT LINKED MASTER 8,TASK DEPENDENCY INOUT LINKED MASTER 16,TASK DEPENDENCY INOUT LINKED MASTER 24,TASK DEPENDENCY INOUT LINKED MASTER 32,TASK DEPENDENCY OUT CHAIN MASTER 1,TASK DEPENDENCY OUT CHAIN MASTER 2,TASK DEPENDENCY OUT CHAIN MASTER 4,TASK DEPENDENCY OUT CHAIN MASTER 8,TASK DEPENDENCY OUT CHAIN MASTER 16,TASK DEPENDENCY OUT CHAIN MASTER 24,TASK DEPENDENCY OUT CHAIN MASTER 32,TASK DEPENDENCY INOUT CHAIN MASTER 1,TASK DEPENDENCY INOUT CHAIN MASTER 2,TASK DEPENDENCY INOUT CHAIN MASTER 4,TASK DEPENDENCY INOUT CHAIN MASTER 8,TASK DEPENDENCY INOUT CHAIN MASTER 16,TASK DEPENDENCY INOUT CHAIN MASTER 24,TASK DEPENDENCY INOUT CHAIN MASTER 32
taskbench_intel_t2_n1000_d03.2,2,1000,03.2,0.003309,2.550125,3.959060,7.773292,15.106106,33.546638,62.732804,104.733574,6.781483,16.752207,39.546943,91.928875,207.807052,341.549265,505.231547,17.538619,27.962339,50.731695,99.018037,200.811410,313.311470,442.606688,28.568673,45.230758,80.668592,157.506073,313.693404,493.241692,699.437308,3.634000,3.739202,3.819859,3.906929,4.104769,4.292476,4.511857,3.764057,3.797114,3.853035,3.977203,4.185045,4.396403,4.630351
taskbench_mcc.ompss_t2_n1000_d0.8,2,1000,0.8,0.000866,11.854720,15.455031,19.086909,26.831973,42.666769,57.144582,76.788533,8.202410,11.882854,30.002391,68.951428,157.457173,291.922641,456.862688,8.992672,14.523983,32.974303,72.749925,170.670521,300.012660,480.753815,9.800541,15.239143,33.428395,73.299563,172.348392,304.016519,509.754741,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000


taskbench_mcc.ompss_t1_n1000_d0.4_error,1,1000,0.4,0.000019,1.010589,0.592073,0.548172,1.001051,1.311413,1.055235,2.147659,0.129782,0.241751,1.501084,3.832570,10.637281,18.537764,23.661410,0.219906,0.653427,1.517346,0.381596,3.878280,1.296036,19.302612,0.238176,0.459949,0.180780,0.716671,4.185912,2.838360,24.851356,0.130307,0.069950,0.123543,0.221161,0.375931,0.444166,0.803487,0.091958,0.482283,0.260115,0.515562,0.478272,0.562334,0.635089
taskbench_clang_t1_n1000_d0.4_error,1,1000,0.4,0.000003,0.022777,0.007008,0.019702,0.000685,0.001482,0.001489,0.001258,0.001831,0.001140,0.001267,0.001206,0.001056,0.001365,0.001648,0.001163,0.001218,0.001317,0.001497,0.001370,0.001424,0.001445,0.018629,0.022131,0.001373,0.000648,0.001209,0.001635,0.001174,0.000848,0.001156,0.001585,0.018402,0.001363,0.001490,0.001909,0.001200,0.005998,0.001380,0.021471,0.001457,0.001485,0.001461
taskbench_intel-17.0.1.132_t1_n1000_d0.1_error,1,1000,0.1,0.000003,0.012477,0.013055,0.007276,0.012331,0.014532,0.013076,0.013250,0.017232,0.008582,0.008849,0.009161,0.009031,0.008755,0.008622,0.009060,0.011400,0.009009,0.008980,0.009008,0.008825,0.008441,0.009038,0.016603,0.008896,0.008607,0.008922,0.008699,0.008689,0.008761,0.006996,0.009118,0.009145,0.008820,0.008728,0.020805,0.011058,0.009514,0.008909,0.008364,0.008898,0.009094,0.014725
taskbench_mcc.openmp_t2_n1000_d0.2_error,2,1000,0.2,0.000015,0.145060,0.173574,0.234022,0.427415,0.329334,0.788554,0.882572,0.118640,0.107095,0.169016,0.359119,0.519964,0.819171,1.279419,0.102281,0.158218,0.199624,0.475261,0.774868,0.704901,1.800928,0.137934,0.123120,0.197427,0.526614,0.601424,1.160558,1.645770,1.378468,0.685573,1.037377,0.869520,1.029697,1.332472,1.459804,1.471442,0.795308,0.672778,1.499331,0.705443,1.174739,1.759499
taskbench_mcc.ompss_t2_n1000_d01.6_error,2,1000,01.6,0.000082,0.482471,0.231901,0.327759,0.327585,0.978568,1.160320,1.258346,4.612293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
taskbench_mcc.ompss_t2_n5000_d0.8_error,2,5000,0.8,0.000009,0.416747,0.155312,0.137472,0.297006,0.518376,0.650976,1.205492,0.428074,1.064923,2.702018,3.137236,24.850497,18.784422,50.249717,0.406674,0.323169,1.257978,1.521195,6.531537,14.365604,26.527510,0.487667,0.509792,1.362025,1.233113,2.917006,3.514282,25.057824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
